ID,GROUP_ID,DISPLAY_NAME,SLUG,ABBREVIATION,SHORT_NAME,TEAM_NAME,WINS,LOSSES,STANDING,STREAK,GB
55,11,Jacksonville State Gamecocks,jacksonville_state_gamecocks,JVST,J'Ville St,Gamecocks,12.0,14.0,8.0,-2.0,7.0
2335,11,Liberty Flames,liberty_flames,LIB,Liberty,Flames,16.0,10.0,5.0,-1.0,3.0
166,11,New Mexico State Aggies,new_mexico_state_aggies,NMSU,New Mexico St,Aggies,11.0,15.0,4.0,-3.0,8.0
2393,11,Middle Tennessee Blue Raiders,middle_tennessee_blue_raiders,MTSU,MTSU,Blue Raiders,11.0,15.0,6.0,3.0,8.0
98,11,Western Kentucky Hilltoppers,western_kentucky_hilltoppers,WKU,Western KY,Hilltoppers,19.0,7.0,3.0,5.0,0.0
2348,11,Louisiana Tech Bulldogs,louisiana_tech_bulldogs,LT,Louisiana Tech,Bulldogs,18.0,8.0,2.0,2.0,1.0
2534,11,Sam Houston Bearkats,sam_houston_bearkats,SHSU,Sam Houston,Bearkats,15.0,11.0,1.0,2.0,4.0
2130,43,Chicago State Cougars,chicago_state_cougars,CHST,Chicago St,Cougars,11.0,18.0,1.0,-3.0,0.0
2174,45,Detroit Mercy Titans,detroit_mercy_titans,DETM,Detroit Mercy,Titans,1.0,27.0,11.0,-1.0,18.0
85,45,IUPUI Jaguars,iupui_jaguars,IUPU,IUPUI,Jaguars,6.0,22.0,10.0,-8.0,13.0
2523,45,Robert Morris Colonials,robert_morris_colonials,RMU,Robert Morris,Colonials,10.0,17.0,9.0,-2.0,8.5
2870,45,Purdue Fort Wayne Mastodons,purdue_fort_wayne_mastodons,PFW,Purdue FW,Mastodons,17.0,10.0,8.0,1.0,1.5
325,45,Cleveland State Vikings,cleveland_state_vikings,CLEV,Cleveland St,Vikings,16.0,11.0,6.0,1.0,2.5
270,45,Milwaukee Panthers,milwaukee_panthers,MILW,Milwaukee,Panthers,14.0,13.0,5.0,2.0,4.5
94,45,Northern Kentucky Norse,northern_kentucky_norse,NKU,N Kentucky,Norse,14.0,13.0,7.0,-1.0,4.5
2750,45,Wright State Raiders,wright_state_raiders,WRST,Wright St,Raiders,15.0,12.0,4.0,1.0,3.5
2754,45,Youngstown State Penguins,youngstown_state_penguins,YSU,Youngstown St,Penguins,19.0,9.0,3.0,-1.0,0.0
2739,45,Green Bay Phoenix,green_bay_phoenix,GB,Green Bay,Phoenix,17.0,10.0,2.0,-1.0,1.5
2473,45,Oakland Golden Grizzlies,oakland_golden_grizzlies,OAK,Oakland,Golden Grizzlies,18.0,10.0,1.0,3.0,1.0
219,12,Pennsylvania Quakers,pennsylvania_quakers,PENN,Penn,Quakers,9.0,15.0,7.0,-8.0,11.0
159,12,Dartmouth Big Green,dartmouth_big_green,DART,Dartmouth,Big Green,5.0,17.0,8.0,-5.0,14.0
225,12,Brown Bears,brown_bears,BRWN,Brown,Bears,7.0,17.0,6.0,1.0,13.0
108,12,Harvard Crimson,harvard_crimson,HARV,Harvard,Crimson,13.0,9.0,4.0,1.0,6.0
171,12,Columbia Lions,columbia_lions,COLU,Columbia,Lions,13.0,9.0,5.0,-1.0,6.0
163,12,Princeton Tigers,princeton_tigers,PRIN,Princeton,Tigers,19.0,3.0,3.0,4.0,0.0
172,12,Cornell Big Red,cornell_big_red,COR,Cornell,Big Red,19.0,4.0,2.0,2.0,0.5
43,12,Yale Bulldogs,yale_bulldogs,YALE,Yale,Bulldogs,17.0,7.0,1.0,-1.0,3.0
2363,13,Manhattan Jaspers,manhattan_jaspers,MAN,Manhattan,Jaspers,5.0,19.0,11.0,-6.0,13.5
2561,13,Siena Saints,siena_saints,SIE,Siena,Saints,4.0,22.0,10.0,-2.0,15.5
2099,13,Canisius Golden Griffins,canisius_golden_griffins,CAN,Canisius,Golden Griffins,10.0,15.0,9.0,1.0,9.0
116,13,Mount St. Mary's Mountaineers,mount_st._mary's_mountaineers,MSM,Mount St Marys,Mountaineers,11.0,15.0,8.0,-2.0,8.5
2520,13,Rider Broncs,rider_broncs,RID,Rider,Broncs,10.0,16.0,7.0,2.0,9.5
314,13,Iona Gaels,iona_gaels,IONA,Iona,Gaels,13.0,12.0,6.0,-1.0,6.0
2612,13,Saint Peter's Peacocks,saint_peter's_peacocks,SPU,Saint Peter's,Peacocks,13.0,11.0,5.0,2.0,5.5
2368,13,Marist Red Foxes,marist_red_foxes,MRST,Marist,Red Foxes,14.0,9.0,4.0,4.0,4.0
2217,13,Fairfield Stags,fairfield_stags,FAIR,Fairfield,Stags,16.0,10.0,3.0,1.0,3.5
315,13,Niagara Purple Eagles,niagara_purple_eagles,NIA,Niagara,Purple Eagles,14.0,11.0,2.0,2.0,5.0
2514,13,Quinnipiac Bobcats,quinnipiac_bobcats,QUIN,Quinnipiac,Bobcats,19.0,6.0,1.0,-2.0,0.0
2084,14,Buffalo Bulls,buffalo_bulls,BUFF,Buffalo,Bulls,3.0,22.0,12.0,-2.0,16.0
2199,14,Eastern Michigan Eagles,eastern_michigan_eagles,EMU,E Michigan,Eagles,10.0,15.0,11.0,1.0,9.0
2459,14,Northern Illinois Huskies,northern_illinois_huskies,NIU,N Illinois,Huskies,9.0,16.0,10.0,-1.0,10.0
2050,14,Ball State Cardinals,ball_state_cardinals,BALL,Ball State,Cardinals,12.0,13.0,9.0,-3.0,7.0
2711,14,Western Michigan Broncos,western_michigan_broncos,WMU,W Michigan,Broncos,8.0,17.0,8.0,-6.0,11.0
2309,14,Kent State Golden Flashes,kent_state_golden_flashes,KENT,Kent State,Golden Flashes,13.0,12.0,7.0,1.0,6.0
193,14,Miami (OH) RedHawks,miami_(oh)_redhawks,M-OH,Miami OH,RedHawks,12.0,13.0,6.0,1.0,7.0
189,14,Bowling Green Falcons,bowling_green_falcons,BGSU,Bowling Green,Falcons,16.0,9.0,4.0,-2.0,3.0
195,14,Ohio Bobcats,ohio_bobcats,OHIO,Ohio,Bobcats,13.0,12.0,5.0,-2.0,6.0
2117,14,Central Michigan Chippewas,central_michigan_chippewas,CMU,C Michigan,Chippewas,15.0,10.0,3.0,2.0,4.0
2649,14,Toledo Rockets,toledo_rockets,TOL,Toledo,Rockets,16.0,9.0,2.0,1.0,3.0
2006,14,Akron Zips,akron_zips,AKR,Akron,Zips,19.0,6.0,1.0,1.0,0.0
2154,16,Coppin State Eagles,coppin_state_eagles,COPP,Coppin St,Eagles,2.0,20.0,8.0,-6.0,12.5
2379,16,Maryland-Eastern Shore Hawks,maryland-eastern_shore_hawks,UMES,MD-Eastern,Hawks,7.0,15.0,7.0,-1.0,7.5
2169,16,Delaware State Hornets,delaware_state_hornets,DSU,Delaware St,Hornets,11.0,13.0,6.0,1.0,4.5
2569,16,South Carolina State Bulldogs,south_carolina_state_bulldogs,SCST,SC State,Bulldogs,9.0,16.0,5.0,-1.0,7.0
2428,16,North Carolina Central Eagles,north_carolina_central_eagles,NCCU,NC Central,Eagles,13.0,10.0,3.0,-2.0,2.0
47,16,Howard Bison,howard_bison,HOW,Howard,Bison,11.0,14.0,4.0,2.0,5.0
2415,16,Morgan State Bears,morgan_state_bears,MORG,Morgan St,Bears,9.0,15.0,2.0,3.0,6.5
2450,16,Norfolk State Spartans,norfolk_state_spartans,NORF,Norfolk St,Spartans,16.0,9.0,1.0,1.0,0.0
2674,18,Valparaiso Beacons,valparaiso_beacons,VAL,Valparaiso,Beacons,6.0,21.0,12.0,-8.0,16.0
82,18,UIC Flames,uic_flames,UIC,UIC,Flames,10.0,17.0,11.0,-2.0,12.0
339,18,Evansville Purple Aces,evansville_purple_aces,EVAN,Evansville,Purple Aces,15.0,12.0,10.0,-3.0,7.0
2623,18,Missouri State Bears,missouri_state_bears,MOST,Missouri St,Bears,15.0,12.0,9.0,1.0,7.0
2287,18,Illinois State Redbirds,illinois_state_redbirds,ILST,Illinois St,Redbirds,13.0,14.0,8.0,2.0,9.0
93,18,Murray State Racers,murray_state_racers,MUR,Murray St,Racers,11.0,16.0,7.0,-1.0,11.0
79,18,Southern Illinois Salukis,southern_illinois_salukis,SIU,S Illinois,Salukis,17.0,10.0,5.0,1.0,5.0
2057,18,Belmont Bruins,belmont_bruins,BEL,Belmont,Bruins,16.0,11.0,6.0,4.0,6.0
2460,18,Northern Iowa Panthers,northern_iowa_panthers,UNI,Northern Iowa,Panthers,15.0,12.0,4.0,2.0,7.0
71,18,Bradley Braves,bradley_braves,BRAD,Bradley,Braves,18.0,9.0,3.0,-1.0,4.0
2181,18,Drake Bulldogs,drake_bulldogs,DRKE,Drake,Bulldogs,22.0,5.0,1.0,4.0,0.0
282,18,Indiana State Sycamores,indiana_state_sycamores,INST,Indiana St,Sycamores,22.0,5.0,2.0,-2.0,0.0
2005,44,Air Force Falcons,air_force_falcons,AFA,Air Force,Falcons,8.0,16.0,11.0,-6.0,12.0
